Country Name;Indicator Name;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
China;GDP per capita (current US$);209922943460447;269396982683485;346830446324747;383223595156727;455045359583857;561813249134962;631691886335683;705064591988963;765136604428568;803338804310679;807879047437238
Cote d'Ivoire;GDP per capita (current US$);949131832768471;106115402566967;123561336575482;121029542592526;121193033804477;120700143371363;124334459676571;14154693846297;155938650354563;142645786352384;148165223087732
Cameroon;GDP per capita (current US$);106213743331336;119406985039841;13717467084914;131470601531227;128526172565588;14032556380893;135462308705136;14652223269067;154056818173347;132696927718029;136340385121739
Congo;COD;218386190840192;255433083829534;286330492064632;327563721821663;298619682051092;334021572573152;387082465361488;424600386118518;45796372825635;486787081921552;497316960805476
Congo;COG;168020458795157;206434452292536;216574575859571;295626440700407;231426602478527;280969495708158;328239345461725;303266732937043;304706458933719;299293134863351;176132356974061
Colombia;GDP per capita (current US$);373116848946768;470321315685375;546178072641311;519539337583111;632654946861963;73243832858034;804252976902978;821266782924683;811408426438361;617587602970259;587122352385952
Comoros;GDP per capita (current US$);111395775719606;123846151380518;138759462639938;133933719065958;131521480648394;144606801802192;140342851892157;150492085930273;151181608327254;124210288470331;127219394336975
Cabo Verde;GDP per capita (current US$);236138513425545;318682689181153;37212509487106;351740124546087;337825485950035;374038909850629;34475240412173;361597904131099;35886740539538;304301398430098;31309822291706
Costa Rica;GDP per capita (current US$);520151409470061;607178916451552;685907902178333;676047751541355;814191312675461;912193251763187;991320995852366;104900813312933;105471518593556;112991355423011;116664559107759
Caribbean small states;GDP per capita (current US$);804448167360016;891334457775968;100465067953363;839866473543106;907432439071976;974318186923232;999404875910757;101147934216653;101749211862428;992062652056646;936893139391198
Cuba;GDP per capita (current US$);46835661553675;520871607293921;541127141824963;552967036020975;573035477459488;613971932965905;649732111313561;683771289192677;713334209494342;76940119195241;806079588647979
Curacao;GDP per capita (current US$);;;;;;201463864122001;20587397358013;204627179539813;202580096948833;199513279030441;195553658492891
Cayman Islands;GDP per capita (current US$);833227834434623;854342681740934;851878402352083;773980158439916;733507848219067;72328411640906;72783320437604;735158953177856;749904332223775;762804862528245;782960999272332
Cyprus;GDP per capita (current US$);267293267457419;312449280082161;353910400578939;32105867479829;308184799259532;322336433858793;289849445491789;279423012696028;274071528617811;232174841507892;240191378679236
Czech Republic;GDP per capita (current US$);151836360541375;183736489976913;226988539572605;197415976279826;198080710912518;217174579392202;197298705111763;199160193873722;197445586092159;177156168523009;184633865756564
Germany;GDP per capita (current US$);363234477421822;415872128984264;45427151677489;414859016495139;415319341978689;46644776027968;438583630551076;462857640688407;479599932737599;411395445685533;420989204453545
Djibouti;GDP per capita (current US$);;;;;;;;231272880330353;246601833154344;26756053744963;281837685569239
Dominica;GDP per capita (current US$);551839910840448;59520566685762;646914573799801;690285716974119;696724522993605;70650529682483;684841823434087;701667647144723;731810378289945;759643506226258;808096862341186
Denmark;GDP per capita (current US$);520269995142723;584870549677696;643220635020842;581632768762815;580413984363385;61753647131977;585075080517852;611911937042028;625489847332908;532548560039631;546639983719195
Dominican Republic;GDP per capita (current US$);413468378533407;470779670773682;508799111757381;503940742268002;555539094900238;59134344216753;611036952132879;623813309701676;660883225697836;692151737075206;728087316423465
Algeria;GDP per capita (current US$);347881854327462;395056160744508;492354009872171;388337814284703;448072453900113;545574133764262;559232609806051;549958148704572;549302558996263;417786751715913;39464214445883
East Asia & Pacific (excluding high income);GDP per capita (current US$);195943278667834;245886237675337;308949132181421;332512433810217;400260870360744;485583276050313;537569446740777;588757784174044;628285238097926;649008240723271;655707613521138
Early-demographic dividend;GDP per capita (current US$);200154229083075;233607986079925;259076413974668;245679162530605;294154493951806;324999525402206;335859067262381;337160449005614;343990779900613;329222021690523;332272882097861
East Asia & Pacific;GDP per capita (current US$);508471063081702;564740782028319;647630770989439;662610351488718;767290556016651;883608925457739;939273660964712;943373094835971;965003464468676;953263501617477;977278639481429
Europe & Central Asia (excluding high income);GDP per capita (current US$);524810233408184;67851708401049;838180475336909;656173039612462;779311055692967;958372450537643;10093897303982;106642931532708;988856625818031;752024873114036;71633611636348
Europe & Central Asia;GDP per capita (current US$);207326584801565;241371508014919;263916544857301;23118826354065;235875745647757;260934407661845;250492574384463;260543811048118;262790104518935;225302356076213;223554715572657
Ecuador;GDP per capita (current US$);332888297239765;356783643782206;424901926210976;423161579767847;463359035839904;520055579014874;568204500655353;60563308269681;637709153014217;612449164262072;606009332904415
Egypt;EGY;118751968978388;139819062441416;1667843720526;204452785549853;232923947996771;264481703909751;279195496186249;323264889178794;326437878715277;337883135785555;35989709482021
Euro area;GDP per capita (current US$);337670925166372;386667342923688;421778209210533;384232137622717;375670529020887;406130001890954;375979905087513;391029528579493;398567002990383;343775140609793;351281032993356
Eritrea;GDP per capita (current US$);415036599442053;439832690498933;45063284030614;595109987185412;667744177753249;811376028602108;;;;;
Spain;GDP per capita (current US$);283653134896346;325499709785513;353662596011983;320424740786617;305027197080776;316364463142558;283244293363918;290595479522321;294615503337389;257320183647454;265056243284919
Estonia;GDP per capita (current US$);126315677723615;167419391245668;182271200781939;147949707926449;147843810806949;176240441399335;175344215441923;19174100729108;203671026566799;17522230186252;182372958432683
Ethiopia;GDP per capita (current US$);194687430455118;244286037152722;326436826698931;380569047862885;341554114905179;354479575841347;467077927241718;499531572059907;566926466461984;640541891313682;717124592933285
European Union;GDP per capita (current US$);309605614240413;356309377154431;381856238045565;340192785907966;337406463712077;365066388217725;343288216193455;356838587891225;367872310061639;323194532422139;324251309825728
Fragile and conflict affected situations;GDP per capita (current US$);941420749041986;113009606708081;142672902299794;129998511372908;151192926433544;160875920043388;182048804305631;185846172041193;182439865909493;160608303761917;153802743387328
Finland;GDP per capita (current US$);411880936997302;484148450929722;535540389224673;472939928335042;464599732548543;510819976703127;477107902169415;498780432444536;502602998588958;428112129936435;437774400888075
Fiji;GDP per capita (current US$);374786071607455;407210156984329;416767028471654;336281655514032;365252743714193;437145751012411;459155578402956;484069371615802;560557033080847;539074523711745;565131805482702
France;GDP per capita (current US$);364436234414411;415084339850416;453341144358246;415754187483737;4063833400426;437907320482019;408747035053457;425929340943342;430086473817107;366133752159613;36962222290118
Faroe Islands;GDP per capita (current US$);415225438571741;478856988786829;508660810982214;474478700366077;485302338492813;520838891448364;494597172338372;548536255967876;594400307606004;524046593331379;558229147203438
Micronesia;FSM;235827984029018;240618257538549;245861084288328;254140892779266;272187004672743;288544589035841;300919823187339;31313862817875;29946788332915;297145688395377;290637722112463
Gabon;GDP per capita (current US$);721491454358539;84470785912062;102128194320542;769005223487234;884073066379785;107955005802196;981403899241886;968082433880273;965057437612745;738174674851952;697970919563581
United Kingdom;GDP per capita (current US$);445996975685697;505668265956828;472869984928367;387131374283353;394358399018505;420385004790349;424627149069427;434445648427389;474176350484639;449661019252665;410741672796521
