Country Name;Indicator Name;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Early-demographic dividend;Population, total;2733462527;2777145806;2820903724;2864614907;2908287643;2951856336;2994852889;3037662926;3080325473;3122841922;3165142287
East Asia & Pacific;Population, total;2146744075;2161785573;2177119142;2192059415;2206884624;2221673110;2236819053;2252046977;2267482299;2282855831;2298514046
Europe & Central Asia (excluding high income);Population, total;393216869;393919037;394991819;396743394;398783138;401012737;403265869;405778196;408278056;410844329;413361214
Europe & Central Asia;Population, total;874862170;878004122;881531261;885170595;888627318;890862941;894486795;898766094;903129978;907498192;911812364
Ecuador;Population, total;14059384;14296557;14535739;14774424;15011117;15243883;15474102;15707474;15951838;16212020;16491115
Egypt;EGY;75523569;76873663;78232126;79636079;81134798;82761235;84529250;86422240;88404640;90424654;92442547
Euro area;Population, total;330922789;332645165;334274725;335360890;336151479;335419643;336159194;337302113;338466255;339533474;340616924
Eritrea;Population, total;2918205;2996536;3062779;3119920;3170435;3213972;;;;;
Spain;Population, total;44397319;45226803;45954106;46362946;46576897;46742697;46773055;46620045;46480882;46444832;46483569
Estonia;Population, total;1346810;1340680;1337090;1334515;1331475;1327439;1322696;1317997;1314545;1315407;1315790
Ethiopia;Population, total;78489206;80674348;82916235;85233913;87639964;90139927;92726971;95385785;98094253;100835458;103603501
European Union;Population, total;497844869;499790863;501683669;503194070;504298777;504005894;505096232;506597697;508193856;509717579;511218529
Fragile and conflict affected situations;Population, total;390889972;400456806;410146920;419986678;430002303;440218679;450626774;461192790;471835322;482530732;493290951
Finland;Population, total;5266268;5288720;5313399;5338871;5363352;5388272;5413971;5438972;5461512;5479531;5495303
Fiji;Population, total;827870;836190;845361;853637;859818;863449;865069;865608;866453;868627;872399
France;Population, total;63621381;64016225;64374984;64707040;65027507;65342780;65659809;65998687;66316100;66593366;66859768
Faroe Islands;Population, total;47792;47825;47820;47808;47814;47823;47843;47892;47960;48051;48173
Micronesia;FSM;106129;105371;104444;103543;102975;102911;103450;104506;105926;107446;108895
Gabon;Population, total;1430152;1472575;1518540;1568928;1624140;1684635;1749682;1817071;1883800;1947686;2007873
United Kingdom;Population, total;60846820;61322463;61806995;62276270;62766365;63258918;63700300;64128226;64613160;65128861;65595565
Georgia;Population, total;3880347;3860158;3848449;3814419;3786695;3756441;3728874;3717668;3719414;3725276;3727505
Ghana;Population, total;22379055;22963946;23563825;24170940;24779619;25387710;25996449;26607642;27224472;27849205;28481946
Gibraltar;Population, total;33417;33517;33559;33565;33585;33612;33646;33692;33725;33736;33737
Guinea;Population, total;9307425;9518162;9738792;9964469;10192176;10420471;10652029;10892810;11150977;11432088;11738441
Gambia;GMB;1543741;1591445;1639848;1689285;1740279;1793196;1848147;1905011;1963711;2024042;2085860
Guinea-Bissau;Population, total;1377581;1411543;1446936;1483921;1522599;1562989;1604979;1648257;1692439;1737202;1782437
Equatorial Guinea;Population, total;784496;821687;860840;901599;943639;986853;1031191;1076413;1122276;1168568;1215179
Greece;Population, total;11020362;11048473;11077841;11107017;11121341;11104899;11045011;10965211;10892413;10820883;10775971
Grenada;Population, total;104933;105190;105456;105789;106233;106796;107446;108170;108902;109599;110261
Greenland;Population, total;56774;56555;56328;56323;56905;56890;56810;56483;56295;56114;56186
Guatemala;Population, total;13397021;13700327;14006428;14316263;14630417;14948803;15270778;15595821;15923243;16252429;16583060
Guam;Population, total;158648;158847;159036;159226;159444;159692;159996;160407;161016;161853;162951
Guyana;Population, total;746343;746474;746817;747718;749436;752028;755399;759285;763380;767432;771366
High income;Population, total;1123222521;1132154767;1141674064;1150180708;1157826206;1163335501;1170223344;1177175241;1184323353;1191326855;1198350350
Hong Kong SAR;HKG;6813200;6857100;6916300;6957800;6972800;7024200;7071600;7150100;7178900;7229500;7291300
Honduras;Population, total;7634298;7808518;7980955;8150775;8317470;8480671;8640691;8798521;8955589;9112916;9270795
Heavily indebted poor countries (HIPC);Population, total;558909236;574560260;590590368;607115564;624219326;641921311;660193774;679012664;698336451;718128416;738387254
Croatia;Population, total;4311159;4310217;4309705;4305181;4295427;4280622;4267558;4255689;4238389;4203604;4174349
Haiti;Population, total;9344785;9495328;9646580;9798046;9949322;10100320;10250930;10400673;10549008;10695542;10839970
Hungary;Population, total;10071370;10055780;10038188;10022650;10000023;9971727;9920362;9893082;9866468;9843028;9814023
IBRD only;Population, total;4248617747;4291629776;4334791952;4378481189;4421851199;4465853343;4510296617;4555067814;4599654984;4643767826;4687686335
IDA & IBRD total;Population, total;5498679869;5571274179;5644570358;5718843756;5793479782;5869059895;5945148626;6022137210;6099662180;6177552865;6256138021
IDA total;Population, total;1250062122;1279644403;1309778406;1340362567;1371628583;1403206552;1434852009;1467069396;1500007196;1533785039;1568451686
IDA blend;Population, total;420376591;430363365;440671619;451237921;462331503;473598444;484720757;496066901;507644354;519429790;531399044
Indonesia;Population, total;229318262;232374245;235469762;238620563;241834215;245116206;248452413;251806402;255129004;258383256;261554226
IDA only;Population, total;829685531;849281038;869106787;889124646;909297080;929608108;950131252;971002495;992362842;1014355249;1037052642
Isle of Man;Population, total;81285;82408;83508;84376;84857;84886;84533;83976;83488;83234;83287
India;Population, total;1165486291;1183209472;1200669765;1217726215;1234281170;1250288729;1265782790;1280846129;1295604184;1310152403;1324509589
Not classified;Population, total;;;;;;;;;;;
Ireland;Population, total;4273591;4398942;4489544;4535375;4560155;4580084;4599533;4623816;4657740;4701957;4755335
Iran;IRN;69762347;70554760;71336475;72120604;72924837;73762519;74634956;75539862;76481943;77465753;78492215
Iraq;Population, total;27448124;27911248;28385746;28973162;29741976;30725300;31890011;33157050;34411951;35572261;36610632
Iceland;Population, total;303782;311566;317414;318499;318041;319014;320716;323764;327386;330815;335439
Israel;Population, total;7053700;7180100;7308800;7485600;7623600;7765800;7910500;8059500;8215700;8380100;8546000
Italy;Population, total;58143979;58438310;58826731;59095365;59277417;59379449;59539717;60233948;60789140;60730582;60627498
Jamaica;Population, total;2754407;2768227;2781876;2795837;2810460;2825929;2842132;2858709;2875136;2891021;2906238
Jordan;Population, total;5991540;6255280;6556478;6893260;7261539;7663131;8090872;8520420;8920049;9266575;9551467
Japan;Population, total;127854000;128001000;128063000;128047000;128070000;127833000;127629000;127445000;127276000;127141000;126994511
Kazakhstan;Population, total;15308084;15484192;15674000;16092822;16321872;16557201;16792089;17035550;17288285;17542806;17794055
Kenya;Population, total;37649033;38705932;39791981;40901792;42030676;43178257;44343410;45519889;46699981;47878336;49051686
Kyrgyz Republic;Population, total;5218400;5268400;5318700;5383300;5447900;5514600;5607200;5719600;5835500;5956900;6079500
Cambodia;Population, total;13477709;13679962;13883834;14093604;14312212;14541423;14780454;15026332;15274503;15521436;15766293
Kiribati;Population, total;94343;96527;98761;100930;102927;104728;106370;107890;109391;110930;112524
St. Kitts and Nevis;Population, total;47339;47778;48185;48599;49016;49447;49887;50331;50774;51203;51625
Korea;KOR;48184561;48438292;48683638;49054708;49307835;49554112;49936638;50199853;50428893;50746659;51014947
Kuwait;Population, total;2373672;2504019;2656009;2821045;2991884;3168060;3348853;3526378;3690942;3835591;3956873
Latin America & Caribbean (excluding high income);Population, total;534080194;540628539;547116062;553561029;559867514;566309408;572713225;579053861;585296422;591416820;597399287
Lao PDR;Population, total;5846074;5944948;6046620;6148623;6249165;6347567;6444530;6541304;6639756;6741164;6845846
Lebanon;Population, total;4759753;4767344;4764741;4813026;4953061;5202343;5538634;5914621;6262410;6532678;6711121
Liberia;Population, total;3329211;3461911;3607860;3754133;3891356;4017443;4135659;4248334;4359505;4472230;4586788
Libya;Population, total;5886872;5974787;6058748;6133984;6197663;6247439;6285750;6320359;6362037;6418315;6492164
St. Lucia;Population, total;165381;167639;170011;172221;174085;175544;176646;177513;178296;179126;180024
Latin America & Caribbean;Population, total;563521369;570314774;577050884;583746102;590303295;596966199;603586217;610151927;616619613;622986033;629240066
